/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'angle_reward': 80.80563133612586, 'velocity_reward': 23.375546865439695, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 74.4589539508195, 'gpt_reward': 178.64013215238504, 'gt_reward': 103.0, 'episode_length': 94.0}
Episode 2 finished with reward: {'angle_reward': 1508.124169708176, 'velocity_reward': 665.267482655055, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1453.777516598112, 'gpt_reward': 3627.1691689613413, 'gt_reward': 1532.0, 'episode_length': 1523.0}
Episode 3 finished with reward: {'angle_reward': 706.5523247949867, 'velocity_reward': 356.0474223988465, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 681.4515482351867, 'gpt_reward': 1744.0512954290193, 'gt_reward': 724.0, 'episode_length': 715.0}
Episode 4 finished with reward: {'angle_reward': 681.6557246093365, 'velocity_reward': 354.7980618359523, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 658.6419100335897, 'gpt_reward': 1695.095696478878, 'gt_reward': 699.0, 'episode_length': 690.0}
Episode 5 finished with reward: {'angle_reward': 935.8418867652365, 'velocity_reward': 442.4414738902928, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 900.765016313874, 'gpt_reward': 2279.048376969401, 'gt_reward': 953.0, 'episode_length': 944.0}
Episode 1 finished with reward: {'angle_reward': 237.4092868074239, 'velocity_reward': 188.14940376597696, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 230.49038484708072, 'gpt_reward': 656.0490754204809, 'gt_reward': 251.0, 'episode_length': 242.0}
Episode 2 finished with reward: {'angle_reward': 251.1952851503441, 'velocity_reward': 199.25160325531093, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 243.61973286732194, 'gpt_reward': 694.0666212729768, 'gt_reward': 265.0, 'episode_length': 256.0}
Episode 3 finished with reward: {'angle_reward': 245.33787679373359, 'velocity_reward': 195.52450764576128, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 237.9400778094055, 'gpt_reward': 678.8024622489006, 'gt_reward': 259.0, 'episode_length': 250.0}
Episode 4 finished with reward: {'angle_reward': 239.99171618083892, 'velocity_reward': 187.34221570764453, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 232.93863361463636, 'gpt_reward': 660.2725655031196, 'gt_reward': 254.0, 'episode_length': 245.0}
Episode 5 finished with reward: {'angle_reward': 234.75841368786243, 'velocity_reward': 188.57841912293497, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 227.3223315553872, 'gpt_reward': 650.6591643661843, 'gt_reward': 248.0, 'episode_length': 239.0}
Episode 1 finished with reward: {'angle_reward': 249.45534527361409, 'velocity_reward': 197.74339267382302, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 241.68682312542924, 'gpt_reward': 688.8855610728665, 'gt_reward': 263.0, 'episode_length': 254.0}
Episode 2 finished with reward: {'angle_reward': 242.20796254421805, 'velocity_reward': 190.60336456554924, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 235.19622240668366, 'gpt_reward': 668.0075495164506, 'gt_reward': 256.0, 'episode_length': 247.0}
Episode 3 finished with reward: {'angle_reward': 249.37059180066302, 'velocity_reward': 198.2665069398875, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 241.7026607794555, 'gpt_reward': 689.3397595200062, 'gt_reward': 263.0, 'episode_length': 254.0}
Episode 4 finished with reward: {'angle_reward': 261.09120912203184, 'velocity_reward': 207.44928593559408, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 252.29325159023088, 'gpt_reward': 720.8337466478572, 'gt_reward': 274.0, 'episode_length': 265.0}
Episode 5 finished with reward: {'angle_reward': 227.92804287451605, 'velocity_reward': 187.2888865094355, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 221.15793869995008, 'gpt_reward': 636.3748680839013, 'gt_reward': 241.0, 'episode_length': 232.0}
Episode 1 finished with reward: {'angle_reward': 1991.8957988640725, 'velocity_reward': 828.9342691366633, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1905.4795848838685, 'gpt_reward': 4726.30965288461, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1989.3965542846854, 'velocity_reward': 835.1165841298258, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.7484009708335, 'gpt_reward': 4733.261539385341, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1988.712685506012, 'velocity_reward': 836.7138841192464, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.3061348442593, 'gpt_reward': 4733.7327044695185, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1989.2343261173455, 'velocity_reward': 833.9764908171265, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.5854447752608, 'gpt_reward': 4731.796261709721, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1992.5691629823402, 'velocity_reward': 830.8177939772837, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1907.2290610454809, 'gpt_reward': 4730.6160180051065, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 414.07914001498153, 'velocity_reward': 261.6314891535887, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 398.41826286954074, 'gpt_reward': 1074.1288920381105, 'gt_reward': 427.0, 'episode_length': 418.0}
Episode 2 finished with reward: {'angle_reward': 1489.3353647212296, 'velocity_reward': 661.8922873873684, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1425.1651694706009, 'gpt_reward': 3576.392821579194, 'gt_reward': 1504.0, 'episode_length': 1495.0}
Episode 3 finished with reward: {'angle_reward': 412.6016028139941, 'velocity_reward': 260.4655492593108, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 397.19209678719164, 'gpt_reward': 1070.259248860498, 'gt_reward': 426.0, 'episode_length': 417.0}
Episode 4 finished with reward: {'angle_reward': 394.31221661968505, 'velocity_reward': 253.20655155081405, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 379.3273683321038, 'gpt_reward': 1026.846136502603, 'gt_reward': 407.0, 'episode_length': 398.0}
Episode 5 finished with reward: {'angle_reward': 406.2860089697681, 'velocity_reward': 257.99838619975407, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 391.24310492020595, 'gpt_reward': 1055.5275000897277, 'gt_reward': 419.0, 'episode_length': 410.0}
Episode 1 finished with reward: {'angle_reward': 328.71740829061747, 'velocity_reward': 231.01914140601403, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 316.9927017307135, 'gpt_reward': 876.7292514273448, 'gt_reward': 342.0, 'episode_length': 333.0}
Episode 2 finished with reward: {'angle_reward': 336.31142353547926, 'velocity_reward': 235.49658058048735, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 324.0660922139203, 'gpt_reward': 895.8740963298864, 'gt_reward': 349.0, 'episode_length': 340.0}
Episode 3 finished with reward: {'angle_reward': 327.6900252948368, 'velocity_reward': 232.40657772653603, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 316.3205286915936, 'gpt_reward': 876.4171317129658, 'gt_reward': 341.0, 'episode_length': 332.0}
Episode 4 finished with reward: {'angle_reward': 344.7567790433372, 'velocity_reward': 237.65314536276554, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 332.3362626699788, 'gpt_reward': 914.746187076082, 'gt_reward': 358.0, 'episode_length': 349.0}
Episode 5 finished with reward: {'angle_reward': 346.54135227443913, 'velocity_reward': 239.96423988106068, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 334.7030341663075, 'gpt_reward': 921.2086263218073, 'gt_reward': 360.0, 'episode_length': 351.0}
Episode 1 finished with reward: {'angle_reward': 1992.9770098239433, 'velocity_reward': 840.6862346994893, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1906.844586565943, 'gpt_reward': 4740.50783108937, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1992.9469880366648, 'velocity_reward': 833.4997155468773, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.7189079269845, 'gpt_reward': 4735.165611510514, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1992.996670305172, 'velocity_reward': 837.8967073809096, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.7211448809207, 'gpt_reward': 4739.614522566999, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1992.9311678322258, 'velocity_reward': 839.9374372120697, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.7884028537715, 'gpt_reward': 4742.657007898064, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1992.890601824643, 'velocity_reward': 834.7331715827289, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.2687236753557, 'gpt_reward': 4735.8924970827275, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 389.47422751988205, 'velocity_reward': 254.01902091031607, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 375.50641159794486, 'gpt_reward': 1018.9996600281432, 'gt_reward': 403.0, 'episode_length': 394.0}
Episode 2 finished with reward: {'angle_reward': 397.83579103254584, 'velocity_reward': 252.32747302523276, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 383.5362647771889, 'gpt_reward': 1033.6995288349685, 'gt_reward': 412.0, 'episode_length': 403.0}
Episode 3 finished with reward: {'angle_reward': 393.338919573024, 'velocity_reward': 254.75568024887235, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 379.41978448319037, 'gpt_reward': 1027.5143843050864, 'gt_reward': 407.0, 'episode_length': 398.0}
Episode 4 finished with reward: {'angle_reward': 404.8507287370815, 'velocity_reward': 256.7005750938482, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 389.9748696309139, 'gpt_reward': 1051.5261734618434, 'gt_reward': 419.0, 'episode_length': 410.0}
Episode 5 finished with reward: {'angle_reward': 1992.7073987621607, 'velocity_reward': 845.8259074007652, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1907.7523420515388, 'gpt_reward': 4746.285648214449, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 283.93963188419104, 'velocity_reward': 215.00897514257258, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 274.15411607391565, 'gpt_reward': 773.1027231006792, 'gt_reward': 297.0, 'episode_length': 288.0}
Episode 2 finished with reward: {'angle_reward': 290.9376705851151, 'velocity_reward': 218.32123578045548, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 280.9618011313712, 'gpt_reward': 790.2207074969418, 'gt_reward': 304.0, 'episode_length': 295.0}
Episode 3 finished with reward: {'angle_reward': 283.82244915112375, 'velocity_reward': 214.12879524172521, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 274.41581849464444, 'gpt_reward': 772.3670628874933, 'gt_reward': 297.0, 'episode_length': 288.0}
Episode 4 finished with reward: {'angle_reward': 277.0507690508613, 'velocity_reward': 212.47157962693564, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 267.82906897335886, 'gpt_reward': 757.3514176511563, 'gt_reward': 290.0, 'episode_length': 281.0}
Episode 5 finished with reward: {'angle_reward': 281.2989379026431, 'velocity_reward': 212.94361755862585, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 271.46645381132385, 'gpt_reward': 765.7090092725925, 'gt_reward': 295.0, 'episode_length': 286.0}
Episode 1 finished with reward: {'angle_reward': 1992.9245920443498, 'velocity_reward': 847.2358520014801, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1905.600944341416, 'gpt_reward': 4745.761388387241, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1992.8724466987114, 'velocity_reward': 846.9620587531514, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1911.232767027858, 'gpt_reward': 4751.067272479738, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1992.7432093834868, 'velocity_reward': 843.0124990062975, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1909.7602766094585, 'gpt_reward': 4745.515984999244, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 345.53124971770023, 'velocity_reward': 236.73054289683193, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 333.73011762585304, 'gpt_reward': 915.9919102403848, 'gt_reward': 359.0, 'episode_length': 350.0}
Episode 5 finished with reward: {'angle_reward': 1992.991645071601, 'velocity_reward': 848.5503311922072, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1905.3122692892387, 'gpt_reward': 4746.854245553036, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Model saved!
Logs saved!
Visualizing a few frames .
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Recording a video...
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/wrappers/rendering.py:283: UserWarning: [33mWARN: Overwriting existing videos at /Users/chunhaozou/Desktop/drl/outputs/eureka/2024-12-08_20-06-48/videos folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Video recorded. Check the ./videos directory.
