/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'pole_balance_reward': 3.7578715272664347, 'movement_reward': 22.896040508660608, 'gpt_reward': 26.653912035927046, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 3 finished with reward: {'pole_balance_reward': 4.37013224797537, 'movement_reward': 29.086923632791585, 'gpt_reward': 33.457055880766966, 'gt_reward': 36.0, 'episode_length': 27.0}
Episode 4 finished with reward: {'pole_balance_reward': 4.11397234381781, 'movement_reward': 26.642546829886207, 'gpt_reward': 30.756519173704017, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 5 finished with reward: {'pole_balance_reward': 4.229586567608004, 'movement_reward': 26.982059676105184, 'gpt_reward': 31.211646243713197, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 1 finished with reward: {'pole_balance_reward': 4.104174476019473, 'movement_reward': 27.060521939788885, 'gpt_reward': 31.16469641580836, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 2 finished with reward: {'pole_balance_reward': 4.049941071216443, 'movement_reward': 24.458121004245978, 'gpt_reward': 28.508062075462423, 'gt_reward': 34.0, 'episode_length': 25.0}
Episode 3 finished with reward: {'pole_balance_reward': 4.044257086271055, 'movement_reward': 26.408182907590387, 'gpt_reward': 30.45243999386145, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 4 finished with reward: {'pole_balance_reward': 4.32351387335238, 'movement_reward': 28.154395096109724, 'gpt_reward': 32.47790896946212, 'gt_reward': 36.0, 'episode_length': 27.0}
Episode 5 finished with reward: {'pole_balance_reward': 4.192187002257194, 'movement_reward': 25.96463342373828, 'gpt_reward': 30.156820425995477, 'gt_reward': 35.0, 'episode_length': 26.0}
Model saved!
Logs saved!
Visualizing a few frames .
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Recording a video...
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/wrappers/rendering.py:283: UserWarning: [33mWARN: Overwriting existing videos at /Users/chunhaozou/Desktop/drl/outputs/eureka/2024-12-08_20-06-38/videos folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Video recorded. Check the ./videos directory.
