/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'pole_balance_reward': 3.3549907415576654, 'movement_reward': 11.209637356612838, 'gpt_reward': 14.564628098170504, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 4 finished with reward: {'pole_balance_reward': 10.433363406968883, 'movement_reward': 196.1748453463353, 'gpt_reward': 206.60820875330418, 'gt_reward': 76.0, 'episode_length': 67.0}
Episode 5 finished with reward: {'pole_balance_reward': 10.477248458784358, 'movement_reward': 194.3484433092119, 'gpt_reward': 204.82569176799623, 'gt_reward': 76.0, 'episode_length': 67.0}
Episode 1 finished with reward: {'pole_balance_reward': 10.408792024970504, 'movement_reward': 189.07534072736962, 'gpt_reward': 199.48413275234014, 'gt_reward': 76.0, 'episode_length': 67.0}
Episode 2 finished with reward: {'pole_balance_reward': 10.750837152618304, 'movement_reward': 198.726655642682, 'gpt_reward': 209.47749279530026, 'gt_reward': 76.0, 'episode_length': 67.0}
Episode 3 finished with reward: {'pole_balance_reward': 10.072179798002043, 'movement_reward': 194.19559368087334, 'gpt_reward': 204.2677734788754, 'gt_reward': 74.0, 'episode_length': 65.0}
Episode 4 finished with reward: {'pole_balance_reward': 11.221806586700676, 'movement_reward': 191.7410755333676, 'gpt_reward': 202.9628821200683, 'gt_reward': 78.0, 'episode_length': 69.0}
Episode 5 finished with reward: {'pole_balance_reward': 10.77974504617587, 'movement_reward': 195.5724583305004, 'gpt_reward': 206.3522033766763, 'gt_reward': 76.0, 'episode_length': 67.0}
Model saved!
Logs saved!
Visualizing a few frames .
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Recording a video...
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/wrappers/rendering.py:283: UserWarning: [33mWARN: Overwriting existing videos at /Users/chunhaozou/Desktop/drl/outputs/eureka/2024-12-08_20-06-38/videos folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Video recorded. Check the ./videos directory.
