/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'pole_balance_reward': -4.413767511119607, 'cart_movement_reward': 4.175227025512835, 'gpt_reward': -0.23854048560677366, 'gt_reward': 33.0, 'episode_length': 24.0}
Episode 3 finished with reward: {'pole_balance_reward': -5.834221143909649, 'cart_movement_reward': 6.785342291146004, 'gpt_reward': 0.9511211472363555, 'gt_reward': 38.0, 'episode_length': 29.0}
Episode 4 finished with reward: {'pole_balance_reward': -5.260004284852476, 'cart_movement_reward': 5.892205869272503, 'gpt_reward': 0.632201584420026, 'gt_reward': 36.0, 'episode_length': 27.0}
Episode 5 finished with reward: {'pole_balance_reward': -5.78139824244124, 'cart_movement_reward': 7.446916041312191, 'gpt_reward': 1.6655177988709506, 'gt_reward': 38.0, 'episode_length': 29.0}
Episode 1 finished with reward: {'pole_balance_reward': -5.605740007895435, 'cart_movement_reward': 6.132357579559679, 'gpt_reward': 0.526617571664245, 'gt_reward': 37.0, 'episode_length': 28.0}
Episode 2 finished with reward: {'pole_balance_reward': -5.980418453752112, 'cart_movement_reward': 8.114105626859837, 'gpt_reward': 2.1336871731077265, 'gt_reward': 39.0, 'episode_length': 30.0}
Episode 3 finished with reward: {'pole_balance_reward': -5.770639330799572, 'cart_movement_reward': 6.179403198288215, 'gpt_reward': 0.4087638674886427, 'gt_reward': 38.0, 'episode_length': 29.0}
Episode 4 finished with reward: {'pole_balance_reward': -6.217458938614353, 'cart_movement_reward': 8.179777230375333, 'gpt_reward': 1.9623182917609792, 'gt_reward': 40.0, 'episode_length': 31.0}
Episode 5 finished with reward: {'pole_balance_reward': -5.763267547126602, 'cart_movement_reward': 7.412337753708181, 'gpt_reward': 1.6490702065815799, 'gt_reward': 38.0, 'episode_length': 29.0}
Episode 1 finished with reward: {'pole_balance_reward': -5.998922749051747, 'cart_movement_reward': 8.124096391295774, 'gpt_reward': 2.1251736422440266, 'gt_reward': 39.0, 'episode_length': 30.0}
Episode 2 finished with reward: {'pole_balance_reward': -5.985618837710509, 'cart_movement_reward': 7.495689400922552, 'gpt_reward': 1.5100705632120435, 'gt_reward': 39.0, 'episode_length': 30.0}
Episode 3 finished with reward: {'pole_balance_reward': -5.488135440579251, 'cart_movement_reward': 5.977919591524593, 'gpt_reward': 0.4897841509453421, 'gt_reward': 37.0, 'episode_length': 28.0}
Episode 4 finished with reward: {'pole_balance_reward': -5.565064096817137, 'cart_movement_reward': 6.064785245403849, 'gpt_reward': 0.49972114858671235, 'gt_reward': 36.0, 'episode_length': 27.0}
Episode 5 finished with reward: {'pole_balance_reward': -5.768305579638791, 'cart_movement_reward': 7.417841244863765, 'gpt_reward': 1.6495356652249742, 'gt_reward': 38.0, 'episode_length': 29.0}
Model saved!
Logs saved!
Visualizing a few frames .
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Recording a video...
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/wrappers/rendering.py:283: UserWarning: [33mWARN: Overwriting existing videos at /Users/chunhaozou/Desktop/drl/outputs/eureka/2024-12-08_20-06-38/videos folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Video recorded. Check the ./videos directory.
